name,website,investment_range_low,investment_range_high,last_fund_size,city,state,country,investments_last_twelve,active_portfolio,investments,dry_powder,last_fund_date,year_founded,description
SJF Ventures,www.sjfventures.com,3,10,125,Durham,NC,United States,5,12,18,150.56,15-Dec-2016,1999,"SJF Ventures is an expansion-stage venture capital firm that focuses on the clean energy and efficiency, asset recovery and recycling, food and sustainable agriculture, education, health and wellness, and consumer and enterprise software sectors. The firm has offices in Durham, North Carolina; San Francisco and New York."
Samsung NEXT Ventures,samsungnext.com,null,null,150,san francisco,CA,United States,5,6,6,null,6-Jan-2017,null,"Samsung Global Innovation Center is a venture capital firm which invests in entrepreneurs and startups to create software and services. The team of entrepreneurs, engineers, investors, strategists, business developers and experts work together to empower the global community of startups. the firm is based in Silicon Valley, California with additional offices in New York, New York; Tel Aviv, Israel and Japan, Seoul."
Accelerate-IT ventures,http://accelerateit.com/platform/accelerate-it-ventures/,null,null, null,San Diego,CA,United States,1,4,6,565.5,null,2008,null
500 Startups,www.500.co,0.05,0.5,5,Mountain View,CA,United States,71,354,488,342.29,31-Dec-2016,2010,"500 Startups is a seed fund and startup accelerator that offers accelerator programs for start-up companies operating in the financial services, consumer products, healthcare, e-commerce, business productivity, education, infrastructure services and internet sectors. The firm was founded in 2010 and is headquartered in Mountain View, California."
Accel Partners,www.accel.com,1,30,450,Palo Alto,CA,United States,68,146,244,"5,351.18",30-Nov-2016,1983,"Accel Partners is a Palo Alto, California based venture capital investment firm. The firm focuses on investing in companies within the internet infrastructure, internet software, consumer services, mobile, software, information technology, cyber security and cloud-enabled service sectors."
Benchmark Capital,www.benchmark.com,1,15,42.5,San Francisco,CA,United States,9,37,70,413.2,25-Jan-2016,1995,"Benchmark Capital is an early stage venture capital firm which focuses on investing in enterprise software, communication, security, semiconductor, mobile, social, cloud computing, consumer service, financial service, internet retail, online service, infrastructure service, system software and optical device sectors. The firm was established in 1995 and is headquartered in San Francisco, California."
Bloomberg Beta,www.bloombergbeta.com,null,null,75,San Francisco,CA,United States,20,38,50,89.21,19-Jul-2016,2013,"Bloomberg Beta is a corporate venture capital arm of Bloomberg. The firm's goal is to expand Bloomberg's horizons by backing extraordinary entrepreneurs or creating companies, who have something to teach the world. I t was founded in 2013 and is headquartered in San Francisco, California with an additional office in New York, New York."
Canaan Partners,www.canaan.com,0.05,80,60,Menlo Park,CA,United States,32,71,132,641.29,19-Aug-2015,1987,"Canaan Partners is a global venture capital firm based in Menlo Park, California. The firm focuses on investing in companies within the digital media, communications, mobility, enterprise, bio-pharmaceuticals, medical devices, digital health, medtech, diagnostics and infrastructure sectors. It was founded in 1987."
Frontier venture Capital,www.draperfrontier.com,0.05,0.5,11.17,santa monica,CA,United States,5,12,13,6.4,30-Sep-2016,2002,"Frontier Venture Capital is a venture capital firm headquartered in Santa Monica, California and was founded in 2002. The firm seeks to invest in the media and technology sectors and has additional offices in Portland, Santa Barbara, Sacramento and New York. It specializes in early stage investments."
First Round Capital,www.firstround.com,0.1,0.5,180.5,San Francisco,CA,United States,39,104,230,389,8-Sep-2016,2004,"First Round Capital is a venture capital firm which specializes in seed and early-stage investments. The firm prefers to invest in companies based in the United States, operating in the technology-based, distribution, marketing focused and advertising sectors. First Round was founded in 2004 and is based in San Francisco, California."
Foresite Capital Management,www.foresitecapital.com,10,50,450,san francisco,CA,United States,5,10,30,181.75,29-Jul-2015,2011,null
GV,www.gv.com,0.25,50,170,Mountain View,CA,United States,41,88,112,146.39,22-Oct-2015,2009,"GV is the corporate venture capital arm of Google and a subsidiary of Alphabet Inc. The firm provides seed, early stage and growth stage investments particularly in the mobile, software, consumer internet, life sciences, gaming, big data, financial technology and media sectors. It was established in 2009 and is headquartered in Mountain View, California."
Lightstone ventures,www.lightstonevc.com,null,null,50,menlo park,CA,United States,4,8,12,97.83,26-Jan-2016,2012,"Lightstone Ventures is a venture capital firm which focuses on investing in early stage healthcare, life sciences, medical devices, therapeutics and novel bio-pharmaceutical companies. The firm specializes in early stage and selective later stage investments. The firm was founded in 2012 and is based out of Menlo Park, California."
Microsoft Ventures,www.microsoftventures.com,null,null, null,san francisco,CA,United States,3,3,3,null,12-Dec-2016,null,null
New Enterprise Associates,www.nea.com,0.05,20,350,Menlo Park,CA,United States,93,228,397,"2,173.47",15-Apr-2015,1977,"New Enterprise Associates is a venture capital firm that specializes in seed, early stage, later stage, PIPE, expansion, and mezzanine investments. The firm seeks to invest in the communications, software, electronics, healthcare, energy and information technology sectors. The firm was founded in 1977 and is headquartered in Menlo Park, California with additional offices in Asia, Europe and the United States."
NewSchools Venture Fund,www.newschools.org,0.05,0.15,12,Oakland,CA,United States,2,35,45,14.36,20-Feb-2014,1998,"NewSchools Venture Fund is a non-profit venture philanthropy fund that invests in nonprofit and for-profit educational organizations and educational entrepreneurship projects at the K-12 levels in United States public schools. It is headquartered in Oakland, California and was established in 1998."
Pantera Capital,www.panteracapital.com,null,null, null,menlo park,CA,United States,1,1,1,13.18,1-Jan-2013,2003,null
Pilot Growth Equity,www.pilotgrowth.com,5,50,103,san francisco,CA,United States,1,2,2,102.34,31-Jul-2015,2011,null
Rubicon venture Capital,www.rubicon.vc,0.5,2.5,4.6,san francisco,CA,United States,null,3,3,2.3,30-Jun-2015,2013,null
SierraMaya360,www.sierramaya360.vc,null,null, null,santa monica,CA,United States,1,8,12,0,1-Dec-2014,2013,null
Susa Ventures,www.susaventures.com,null,null,50,San Francisco,CA,United States,9,24,32,56.26,16-Aug-2016,2013,"Susa Ventures is a venture capital firm prefers to invest in early stage companies which build data platforms, analytics and tools. The firm focuses primarily on data-rich sectors such as health, finance, commerce and education."
TCV,www.tcv.com,10,347.5,2500,palo alto,CA,United States,5,21,37,"3,297.65",1-Aug-2016,1995,null
TWilio Fund,www.twilio.com/fund,null,null, null,san francisco,CA,United States,null,2,2,50,null,2008,"Twilio Fund is a $50 million investment fund designed to grow an ecosystem of companies that build innovative and engaging applications on Twilio's platform. It partnered with venture capital firms Bessemer Venture Partners, Draper Fisher Jurvetson, and Redpoint Ventures to fund developers and startups using Twilio's platform to build mobile and web applications."
venBio,www.venbio.com,null,null,315,san francisco,CA,United States,1,2,2,813.37,6-May-2016,2009,null
venrock,www.venrock.com,3,10,450,Palo Ato,CA,United States,20,30,51,441.51,27-Jan-2017,1969,null
versant ventures,www.versantventures.com,10,20,400,San Francisco,CA,United States,13,20,30,97.67,3-Jan-2017,1999,null
Techstars,www.techstars.com,0.1,0.2,3.4,Boulder,CO,United States,36,105,125,128.51,17-Nov-2016,2006,"Techstars is a mentorship-driven seed stage investment program. The firm runs a three-month-long acceleration program in multiple cities in the United States and the United Kingdom annually. The companies the firm selects for its programs each receive 100k -200k in seed funding, along with opportunities for mentoring and a chance to pitch a startup idea to angel investors and venture capital firms. It provides access to community leaders, founders, mentors, investors, and corporate partners, allowing entrepreneurs to accelerate and provide education, experience and funding."
Chartline Capital Partners,www.chartline.com,null,null,16,Wilmington,DE,United States,2,7,7,8,26-Feb-2014,2014,"Chartline Capital Partners is a minority equity investor committed to helping boards, investors, and management teams realize the full potential value of venture-backed companies. The firm invests in digital health, digital industrials, retail analytics, communications infrastructure and food supply chain sectors. The firm does not invest in the real estate, B2C, social, fintech, material science and therapeutic sectors. The firm is a spin-out of yet2Ventures, the corporate venture capital arm of yet2."
H.I.G. BioVentures,www.higbio.com,null,null, null,miami,FL,United States,3,5,9,89.98,19-Mar-2014,2011,null
GSV Ventures,www.gsvfg.com,null,null,0.45,chicago,IL,United States,null,1,1,260.67,10-Dec-2013,2006,"Gentry Venture Partners is the corporate venture capital arm of Gentry Financial Corporation and is based in Chicago, Illinois. The firm focuses on investing in companies operating in the biotechnology, clean-tech, energy and information technology sectors."
Jump Capital,www.jumpcap.com,1,15, null,Chicago,IL,United States,2,2,2,null,5-Feb-2016,2012,null
Liberty Mutual Strategic Ventures,https://welcome.libertymutual.com/innovation/ventures/,1,5,150,boston,MA,United States,2,2,2,144,22-May-2016,null,"Liberty Mutual Strategic Ventures is the venture capital arm of Liberty Mutual Insurance Company which specializes in seed, early stage and later stage venture investments. It is based in Boston, Massachusetts."
.406 ventures,www.406ventures.com,0.5,10,217,Boston,MA,United States,13,23,45,255.29,21-Jul-2015,2005,".406 Ventures is an early-stage venture capital firm based in Boston, Massachusetts. The firm focuses on investing in companies based in the Eastern United States, and operating within the big data, digital media infrastructure, financial technology, information security, open source, web infrastructure, cloud technology, healthcare information technology, energy information technology, next generation software and technology services sectors."
Ascent venture Partners,www.ascentvp.com,2,5,71.05,boston,MA,United States,null,1,2,61.67,12-Aug-2016,1985,"Ascent Venture Partners is a Boston, Massachusetts based venture capital firm that focuses on investing in companies operating in the software, cloud business services, data analytic, mobile, financial services, healthcare, media, retail and manufacturing sectors."
Bain Capital Ventures,www.baincapitalventures.com,1,100,600,Boston,MA,United States,26,74,142,"1,108.99",5-Jul-2016,2000,"Bain Capital Ventures (BCV) provides seed through growth capital for companies focused on technology and technology-enabled services primarily for enterprise customers. BCV invests across sectors including infrastructure software, application software, FinTech and healthcare. As the venture capital affiliate of Bain Capital, a assets firm, BCV has partnered with more than 200 companies since 1984 to start, build, commercialize and grow their businesses. The firm has offices in the Bay Area, New York City and Boston."
Battery ventures,www.battery.com,null,null,17.41,Boston,MA,United States,35,86,158,"1,195.07",8-Apr-2016,1983,"Battery Ventures is a venture capital and private equity technology-focused investment firm that invest in the software and services, web infrastructure, consumer internet, mobile and industrial technologies sectors. The firm was founded in 1983 and is based in Boston, Massachusetts."
Bolt Innovation Group,www.bolt.io,0.5,0.5,32,Boston,MA,United States,11,28,34,20.43,4-Feb-2015,2013,"Bolt Innovation Group is a venture capital firm which seeks to invest in companies operating in the software, hardware and information technology sectors. The firm is based in Boston, Massachusetts and was founded in 2013."
Breakaway Innovation Group,www.breakaway.com,null,null,0.6,boston,MA,United States,1,1,1,0.52,13-Apr-2016,2006,null
Converge Venture Partners,www.convergevp.com,0.1,3.5,26.5,Cambridge,MA,United States,11,19,29,14.53,10-Oct-2014,1998,Converge Venture Partners is a venture capital firm specializing in seed and early stage investments. The firm seeks to invest in early stage software and technology startups in the Northeast.
Cue Ball,www.cueball.com,0.25,15,100,boston,MA,United States,null,8,15,96,11-Mar-2016,2008,"Cue Ball is a venture capital and early growth equity firm that focuses on investing in the enterprise internet, digital media, e-commerce, consumer products, media and retail sectors. The firm was founded in 2008 and based in Boston, Massachusetts."
Data Point Capital,www.datapointcapitai.com,null,null,50,boston,MA,United States,4,9,15,12.97,17-Jul-2012,2012,null
dunnhumby ventures,www.dunnhumby.com/ventures,null,null, null,boston,MA,United States,1,3,6,null,25-Sep-2013,null,null
Elephant Partners,www.elephantvc.com,null,null,156.36,boston,MA,United States,2,4,4,132.95,20-Sep-2016,2015,"Elephant Partners is a venture capital firm focused on consumer internet, mobile and software. The firm is based in New York, New York and was founded in 2015."
Excel Venture Management,www.excelvm.com,1,5,90,Boston,MA,United States,6,7,9,35.62,31-Dec-2013,2006,"Excel Venture Management is a venture capital firm based in Boston, Massachusetts. The firm prefers to invest in the life sciences, diagnostic equipment, medical devices, healthcare services, agriculture, energy, materials, defense and information technology sectors."
Fairhaven Capital Partners,www.fairhavencapital.com,1,7,50.05,boston,MA,United States,1,1,1,53.53,10-Jun-2016,2007,"Fairhaven Capital Partners is a venture capital firm that prefers to invest in the consumer, information technology, manufacturing and mobile sectors. The firm was founded in 2007 and is based in Boston, Massachusetts."
Flare Capital Partners,www.flarecapital.com,null,null,200,boston,MA,United States,4,5,10,86.93,29-Apr-2015,2013,"Flare Capital Partners is a venture capital firm that specializes in early stage and growth investments. The firm is based in Boston, Massachusetts and seeks to invest in the healthcare and technology sectors. It was founded in 2013."
Founder Collective,www.foundercollective.com,null,null,75,Cambridge,MA,United States,16,68,112,78.61,30-Nov-2016,2009,"Founder Collective is a seed stage venture capital fund which seeks to invest in the advertising technology, business product, business service, consumer service, consumer product, e-commerce, embedded device, healthcare, mobile, marketplace, information technology and software sectors. The firm was founded in 2009 and has offices in Cambridge, Massachusetts and New York, New York."
Flybrldge Capital Partners,www.flybridge.com,0.25,5, null,Boston,MA,United States,6,8,10,11.2,26-Feb-2016,2001,null
G20 Ventures,www.g20vc.com,null,null,63.45,boston,MA,United States,4,6,8,39.75,5-Mar-2015,2013,"G20 Ventures is a venture capital firm that prefers to invest in early stage companies with a focus on enterprise software, infrastructure and internet solutions. The firm does not invest in businesses that are fully customer based and prefers to invest in teams of at least two people. It is based in Boston, Massachusetts."
General Catalyst Partners,www.generalcatalyst.com,0.05,50,165,Cambridge,MA,United States,43,85,123,"1,259.85",4-Feb-2016,2000,"General Catalyst Partners is a Cambridge, Massachusetts based venture capital and private equity firm. The firm focuses on investing in companies within the information technology, healthcare, energy, media, retail, mobile and manufacturing sectors."
HLM Venture Partners,www.hlmvp.com,4,10,100.15,boston,MA,United States,null,null,null,106.58,1-May-2011,1983,"HLM Venture Partners is a venture capital firm based in Boston, Massachusetts. The firm invests in the healthcare information technology, healthcare services and medical device sectors."
Long River Ventures,www.longriverventures.com,0.5,1,10,Amherst,MA,United States,1,3,4,3.58,null,2000,"Long River Ventures is a venture capital firm that invests in seed and early stage companies in the healthcare, information technology and other technology-driven sectors. The firm was founded in 2000 and has offices in Amherst and Boston, Massachusetts, investing in the Northeast."
Longwood Fund,www.longwoodfund.com,null,null,66.66,boston,MA,United States,1,3,3,41.15,1-Jan-2014,2010,"Longwood Fund is a venture capital firm that seeks to invest in the healthcare, pharmaceuticals and biotechnology sectors. The firm is based in Boston, Massachusetts and was founded in 2010."
MassVentures,www.mass-ventures.com,0.03,0.5,5,boston,MA,United States,null,7,13,0,15-Jun-2012,1978,null
NextView Ventures,www.nextviewventures.com,0.01,1,40,Boston,MA,United States,9,30,59,26.57,16-Jul-2014,2010,"NextView Ventures is a venture capital firm based in Boston, Massachusetts. The firm specializes in seed stage investments in the internet enabled businesses, commerce, marketplaces, consumer services, SaaS, marketing and ad tech and information technology sectors."
Omega Funds,www.omegafunds.net,null,null,300,boston,MA,United States,3,11,17,358.28,8-May-2015,2004,"Omega Funds is a venture capital firm based in Boston, Massachusetts. The firm was founded in 2004 and prefers to invest in companies operating in the biotechnology, medical technology, diagnostics, services and healthcare information technology sectors."
OpenView venture Partners,www.openviewpartners.com,5,20,8.5,Boston,MA,United States,7,17,29,220.3,23-Sep-2014,2006,"OpenView Venture Partners is a Boston, Massachusetts based venture capital firm. The firm invests in the mobile SaaS business, internet, education technology and security, cloud computing, enterprise technologies, data management and infrastructure software sectors."
Partners Healthcare,www.partners.org,null,null,38.5,boston,MA,United States,1,1,1,33.64,15-Nov-2016,1994,"Partners HealthCare is an integrated health care system, founded by Brigham and Women's Hospital and Massachusetts General Hospital that offers patient care, research and teaching services to the community. The firm seeks to invest through its investment arm Partners Innovation Fund in the biotechnology, medical technology, diagnostic technology, drugs, vaccines and medical software sectors. It was founded in 1994 and is headquartered in Boston, Massachusetts."
Polaris Partners,www.polarispartners.com,10,60,30,Boston,MA,United States,15,28,47,327.37,24-Nov-2014,1996,"Polaris Venture Partners is a private equity and venture capital firm that invests in seed and early stage, late stage and in high-growth middle market companies. The firm primarily invests in the technology, healthcare and consumer sectors."
Procyon ventures,www.procyonventures.com,0.1,0.5,10,boston,MA,United States,2,4,5,5.42,1-Jul-2014,2014,"Procyon Ventures is a venture capital firm that prefers to invest in early stage start up companies based in North America and Asia and solving real-world problems using data and machine intelligence, focusing on applications of frontier technologies such as artificial intelligenceI, computational biotech, connected sensors, augmented reality and virtual reality, and industrial internet of things."
Progress ventures,www.progressventures.com,null,null,20,cambridge ,MA,United States,1,1,1,12.53,20-Oct-2015,2008,"Progress Ventures is a venture capital firm that invests in early stage companies. The firm seeks to invest in the digital media, internet of thing, adtech, e-commerce, technology enabled service and big data sectors. It is headquartered in Cambridge, Massachusetts."
PureTech ventures (PRTC),www.puretechventures.com,null,null,5,boston,MA,United States,2,5,6,1.65,16-Oct-2013,2015,null
Sigma Prime Ventures,www.sigmaprime.com,null,null,125,Boston,MA,United States,7,16,26,179.66,1-Jul-2013,2012,"Sigma Prime Ventures is an early stage venture capital firm that invest in the technology companies focusing on SaaS, cloud, mobile, disruptive technologies and technology-enabled service companies. The firm was founded in 2012 and is based in Boston, Massachusetts."
Spark Capital,www.sparkcapital.com,0.5,30,600,Boston,MA,United States,31,60,104,"1,275.00",15-Nov-2016,2005,"Spark Capital is a venture capital firm that invests in startups led by creative thinkers. Spark has offices in the Back Bay in Boston, Astor Place in New York City and SoMA in San Francisco. Spark Capital was founded in 2005, and today manages five funds with $2 billion under management."
The Yard Ventures,www.theyardventures.com,0.25,0.5, null,boston,MA,United States,null,null,null,0,null,2016,null
Third Rock Ventures,www.thirdrockventures.com,40,50,616,Boston,MA,United States,6,10,17,817.21,31-Oct-2016,2007,"Third Rock Ventures is a venture capital firm that invests in companies operating in the healthcare, medicine, life sciences, drugs, devices and diagnostics, therapeutics and information technology sectors. It was founded in 2007 and is headquartered in Boston, Massachusetts with an additional office in San Francisco, California."
Under score.VC,www.underscore.vc,0.25,10,85,boston,MA,United States,4,3,4,72.99,1-Jul-2016,2015,"Underscore.VC is a venture capital firm that prefers to invest in the technology, SaaS, cloud, open source and mobile sectors. The firm was founded in 2015 and is based in Boston, Massachusetts."
volition Capital,www.volitioncapital.com,5,40,250,boston,MA,United States,3,8,12,329.24,26-Jul-2016,2010,null
